word,level,transcription,russian
benzemek,A1,бенземек,"-ать; -еть"
beraber,A1,берабер,"вместе; совместно"
beslenmek,A1,бесленмек,"-ать; -еть"
bey,A1,бей,"мужской туалет; господин; лорд"
Beğenmek,A1,бейенмек,"одобрить; одобрять; быть благодарным"
bilet,A1,билет,"Билл; вексель; билет"
biletçi,A1,билетчи,"(нет перевода)"
bilgisayar,A1,билгисайар,"вычислитель; вычислительница"
bilgisayar oyunu,A1,билгисайар ойуну,"(нет перевода)"
bilmek,A1,билмек,"знать"
bina,A1,бина,"строительство; стройка"
binmek,A1,бинмек,"-ать; -еть"
biricik,A1,бириджик,"он; единственный"
biriktirmek,A1,бириктирмек,"коллекта; краткая молитва; аккумулировать"
birlikte,A1,бирликте,"вместе; совместно"
birliktelik,A1,бирликтелик,"состояние; государство; консорциум"
birçok,A1,бирчок,"многие; многий"
bitmek,A1,битмек,"-ать; -еть"
bol bol,A1,бол бол,"изобильно; обильно"
borç,A1,борч,"долг; задолженность"
boya,A1,бойа,"цветной; цвет; краска"
boyun,A1,бойун,"шея; выя"
boş,A1,бош,"пустой; порожний; открытый"
boş zaman,A1,бош заман,"(нет перевода)"
bugün,A1,бугюн,"сегодня"
bulaşık,A1,булашык,"грязный; испачканный; заразный"
buluşmak,A1,булушмак,"-ать; -еть"
burada,A1,бурада,"здесь"
burun,A1,бурун,"нос; морда; накидка"
buçuk,A1,бучук,"(нет перевода)"
bölü,A1,бёлю,"(нет перевода)"
büfe,A1,бюфе,"буфет; стойка; будка"
büro,A1,бюро,"обряд; служба"
bütün,A1,бютюн,"полностью; совсем; всецело"
büyük,A1,бюйюк,"большой"
Cadde,A1,джадде,"улица; авеню; проспект"
cami,A1,джами,"мечеть"
cesur,A1,джесур,"отважный; решительный"
cetvel,A1,джетвел,"линейка; властелин; кайма"
cevap,A1,джевап,"ответ; решение; ответить"
ceviz,A1,джевиз,"ореховый; орех"
Ciddi,A1,джидди,"серьёзный"
cimri,A1,джимри,"жадный; прижимистый"
cuma,A1,джума,"пятница"
cumartesi,A1,джумартеси,"суббота; шаббат"
dakika,A1,дакика,"мелкий; мельчайший"
dans,A1,данс,"пляс; танец"
dans etmek,A1,данс этмек,"пляс; танец; -ать"
Danışmak,A1,данышмак,"-ать; -еть"
dar,A1,дар,"узкий; тесный; недостаточный"
dayı,A1,дайы,"материнский; с материнской стороны; условие"
dağınık,A1,даынык,"взъерошенный; неряшливый; беспорядочный"
dede,A1,деде,"дед; дедушка"
defter,A1,дефтер,"блокнот; записная книжка; запас"
demek,A1,демек,"скажем; право голоса; телль"
deniz,A1,дениз,"море"
dergi,A1,дерги,"журнал; склад боеприпасов"
ders,A1,дерс,"доклад; лекция; урок"
devam etmek,A1,девам этмек,"-ать; -еть"
değişik,A1,дейишик,"не; а не"
Değiştirmek,A1,дейиштирмек,"каузатив; каузативный залог; -ать"
Dikkatli,A1,диккатли,"внимательный; осторожный; скрупулёзный"
dikkatsiz,A1,диккатсиз,"небрежный; невнимательный"
dilek,A1,дилек,"(нет перевода)"
dilemek,A1,дилемек,"-ать; -еть"
dini,A1,дини,"опечатка; описка; обвинительный"
dinlemek,A1,динлемек,"слушать; послушать; -ать"
dinlenmek,A1,динленмек,"-ать; -еть; пассивный"
dizi,A1,дизи,"ТВ"
diş,A1,диш,"зуб; зубья"
dişçi,A1,дишчи,"дантист; зубной"
doktor,A1,доктор,"врач"
dolap,A1,долап,"шкаф; каморка; многоточие"
dolaşmak,A1,долашмак,"-ать; -еть"
dolu,A1,долу,"полный; заполненный; град"
dolunay,A1,долунай,"полная луна; полнолуние; полный"
domates,A1,доматес,"помидор; томат"
dosya,A1,досйа,"дело; досье"
doğmak,A1,домак,"-ать; -еть"
doğum günü,A1,доум гюню,"день рождения; днюха"
doğum tarihi,A1,доум тарихи,"дата рождения; финик; дата"
durak,A1,дурак,"остановка; ограничитель; дислокация"
durmak,A1,дурмак,"полустанок; встать (как вкопанный); остановка"
duvar,A1,дувар,"вал; стена; препятствие"
duş almak,A1,душ алмак,"-ать; -еть"
dönmek,A1,дёнмек,"-ать; -еть"
Düzenli,A1,дюзенли,"регулярный; правильный; аккуратный"
düğüm,A1,дюйюм,"узел; клубок"
düğün,A1,дюйюн,"свадьба; бракосочетание; таков"
Dış,A1,дыш,"внешний; наружный; аут"
dışarı,A1,дышары,"внешний; наружный; сельская местность"
eczacı,A1,эджзаджы,"аптекарша; аптекарь"
eczane,A1,эджзане,"(нет перевода)"
egemenlik,A1,эгеменлик,"суверенитет"
ekim,A1,эким,"октябрь"
ekmek,A1,экмек,"хлеб"
ekonomi,A1,экономи,"экономный; экономия"
eksi,A1,экси,"минус; отрицательный; знак минус"
elbise,A1,элбисе,"одежда; одёжа; кусок"
elma,A1,элма,"яблоко"
Emekli,A1,эмекли,"пенсионер; пенсионерка"
Enişte,A1,эниште,"деверь; шурин; друг"
erkek,A1,эркек,"мужчина, мальчик"
erkek kardeş,A1,эркек кардеш,"брат; братец"
erken,A1,эркен,"ранний; рано"
eski,A1,эски,"старый"
etmek,A1,этмек,"выполнить; выполнять; акт"
ev,A1,эв,"дом"
ev hanımı,A1,эв ханымы,"домохозяйка"
evlenmek,A1,эвленмек,"-ать; -еть"
evli,A1,эвли,"женатый; замужем; состояние"
evlilik,A1,эвлилик,"бракосочетание; венчание"
eylül,A1,эйлюл,"сентябрь"
Eğlenceli,A1,эйленджели,"забавный; занимательный"
eş,A1,эш,"жена; жёнка; как"
fabrika,A1,фабрика,"завод; фабрика"
fakir,A1,факир,"факир; жалкий; несчастный"
fare,A1,фаре,"мышь; мышка"
fark,A1,фарк,"разница; отличие"
farklı,A1,фарклы,"другой; иной"
fikir,A1,фикир,"идея; мысль; дума"
film,A1,филм,"(нет перевода)"
fotoğraf çekmek,A1,фотораф чекмек,"-ать; -еть"
Fransa,A1,франса,"Франция; Франс; из"
futbol,A1,футбол,"футбол; ногомяч"
futbol maçı,A1,футбол мачы,"(нет перевода)"
futbolcu,A1,футболджу,"футболист; футболистка"
fındık,A1,фындык,"орех; гайка; лесной орех"
fırça,A1,фырча,"щётка; кисть"
fırın,A1,фырын,"печь; духовка; хлебопекарня"
galeri,A1,галери,"галерея"
garson,A1,гарсон,"кельнер; официант; кельнерша"
gazete,A1,газете,"газета; газетная бумага; напечатать в газете"
gecikmek,A1,геджикмек,"-ать; -еть"
gelecek,A1,геледжек,"будущий; грядущий; ближайший"
gelmek,A1,гелмек,"приходить"
genellikle,A1,генелликле,"вообще; широко"
geniş,A1,гениш,"широкий"
genç,A1,генч,"молодой; младой"
gençlik,A1,генчлик,"юность; молодость"
geveze,A1,гевезе,"он; единственный"
gezi,A1,гези,"вояж; поездка; прогулка"
gezmek,A1,гезмек,"-ать; -еть"
geç,A1,геч,"поздний; запоздалый"
geçmek,A1,гечмек,"-ать; -еть"
girmek,A1,гирмек,"ввод; входить; провести"
gitar,A1,гитар,"гитара"
gitmek,A1,гитмек,"идти, ехать"
Grip,A1,грип,"грипп; инфлюэнца"
Göl,A1,гёл,"лак; озеро"
göndermek,A1,гёндермек,"посылать; слать; -ать"
görüşmek,A1,гёрюшмек,"-ать; -еть"
gösteri,A1,гёстери,"выставка; зрелище"
göz,A1,гёз,"глаз; око; вид"
gül,A1,гюл,"Роза; розовый"
Güler yüzlü,A1,гюлер йюзлю,"(нет перевода)"
gün,A1,гюн,"день"
gündüz,A1,гюндюз,"день; сутки; дневной"
güzel,A1,гюзел,"красивый"
güçlü,A1,гючлю,"могущественный; мощный"
güçsüz,A1,гючсюз,"слабый; правильный; беспомощный"
hafta içi,A1,хафта ичи,"(нет перевода)"
hafta sonu,A1,хафта сону,"конец недели; суббота и воскресенье"
hala,A1,хала,"тётя; тётка; отеческий"
Halsiz,A1,халсиз,"слабый; правильный"
halı,A1,халы,"ковёр; ковëр"
hanım,A1,ханым,"жена; жёнка; госпожа"
harf,A1,харф,"буква; литера"
hasta,A1,хаста,"больной; хворый; блевота"
hastalık,A1,хасталык,"болезнь; хворь; фанатизм"
hastane,A1,хастане,"больница; госпиталь"
hava,A1,хава,"погода, воздух"
havuz,A1,хавуз,"лужа; пул"
havuç,A1,хавуч,"морковь; морковка"
hayal,A1,хайал,"сон; грёза; воображение"
hayat,A1,хайат,"жизнь; живот"
hazır,A1,хазыр,"готовый; заранее приготовленный"
hazırlamak,A1,хазырламак,"-ать; -еть"
hazırlanmak,A1,хазырланмак,"пассивный; бездеятельный; -ать"
hediye,A1,хедийе,"дар; гостинец"
hemşire,A1,хемшире,"фельдшер; медбрат"
her,A1,хер,"каждый; всякий; всегда"
her zaman,A1,хер заман,"всегда; вечно; когда-либо"
heyecanlanmak,A1,хейеджанланмак,"-ать; -еть"
heyecanlı,A1,хейеджанлы,"возбуждённый; в восторге; возбуждающий"
hissetmek,A1,хиссетмек,"-ать; -еть"
hiç,A1,хич,"использованный; используемый"
hiçbir zaman,A1,хичбир заман,"(нет перевода)"
hoşlanmak,A1,хошланмак,"-ать; -еть"
hukuk,A1,хукук,"закон; право; множественный"
hâl,A1,хал,"состояние; государство; падеж"
Hızlı,A1,хызлы,"крепкий; прочный"
i ş,A1,и ш,"(нет перевода)"
ideal,A1,идеал,"абстрактный; воображаемый"
ilkokul,A1,илкокул,"начальная школа; семилетка; первичный"
inek,A1,инек,"бык; корова; нерд"
insan,A1,инсан,"людской; человеческий"
internete girmek,A1,интернете гирмек,"(нет перевода)"
inşallah,A1,иншаллах,"Бог; бог"
istasyon,A1,истасйон,"дислокация; местоположение"
iyi,A1,ийи,"хороший"
izlemek,A1,излемек,"-ать; -еть"
iç,A1,ич,"внутренний; внутри; космос"
içecek,A1,ичеджек,"напиток; питьё"
içeri,A1,ичери,"внутренний; внутри; сердце"
iş yeri,A1,иш йери,"(нет перевода)"
işadamı,A1,ишадамы,"альтернативный; альтернатива"
işçi,A1,ишчи,"рабочий; работник"
İlgilenmek,A1,илгиленмек,"(нет перевода)"
İngiltere,A1,ингилтере,"Англия"
İskele,A1,искеле,"(нет перевода)"
İspanya,A1,испанйа,"Испания; Гишпания"
İtalya,A1,италйа,"Италия"
Japonya,A1,жапонйа,"Япония"
jeton,A1,жетон,"чипс; лучина"
jilet,A1,жилет,"бритва; бивень"
kadın,A1,кадын,"женщина"
kafe,A1,кафе,"(нет перевода)"
kahvaltı etmek,A1,кахвалты этмек,"(нет перевода)"
kahve,A1,кахве,"кофейный; кофе"
kalabalık,A1,калабалык,"куча; сброд; людный"
kalem,A1,калем,"ручка, карандаш"
kalkmak,A1,калкмак,"вставать"
kalmak,A1,калмак,"-ать; -еть"
kalp,A1,калп,"сердце; сердечко"
kampus,A1,кампус,"(нет перевода)"
kanepe,A1,канепе,"(нет перевода)"
kantin,A1,кантин,"буфет; закусочная"
kapalı,A1,капалы,"закрыть; закрывать; закрытый"
kapanmak,A1,капанмак,"-ать; -еть"
kapatmak,A1,капатмак,"закрывать"
kapı,A1,капы,"дверь"
karı,A1,кары,"жена; жёнка; проститутка"
Karşı,A1,каршы,"против; по; противоположный"
karşılamak,A1,каршыламак,"-ать; -еть"
kasap,A1,касап,"мясник; палач"
kasiyer,A1,касийер,"кассир; кассирша"
kat,A1,кат,"пол; настил; кратный"
katılmak,A1,катылмак,"-ать; -еть"
kaç,A1,кач,"сколько"
kaçıncı,A1,качынджы,"использованный; используемый; бесчисленный"
Kaşınmak,A1,кашынмак,"-ать; -еть"
kebap,A1,кебап,"кебаб; шашлык"
kedi,A1,кеди,"кошка"
kibar,A1,кибар,"вежливый; учтивый; благородный"
kilo,A1,кило,"кило; обрезка; срез"
kira,A1,кира,"арендная плата; квартирная плата"
kitap,A1,китап,"книга"
kitaplık,A1,китаплык,"книжный шкаф; этажерка"
kişi,A1,киши,"личность; особа"
koca,A1,коджа,"большой; крупный; громадный"
kol,A1,кол,"рука; оружие; рукав"
kolay,A1,колай,"лёгкий; простой; везти"
koltuk,A1,колтук,"диванный; мамкин; подмышка"
Komik,A1,комик,"забавный; прикольный"
konser,A1,консер,"договорённость; согласие"
kontrol etmek,A1,контрол этмек,"-ать; -еть"
konuşkan,A1,конушкан,"беседливый; болтливый"
KONUŞMA,A1,конушма,"диалог; беседа; вербальный"
konuşmak,A1,конушмак,"говорить"
Kore,A1,коре,"Корея; из; насчёт"
koridor,A1,коридор,"коридор"
korkmak,A1,коркмак,"-ать; -еть"
korumak,A1,корумак,"-ать; -еть"
koymak,A1,коймак,"-ать; -еть"
koşmak,A1,кошмак,"бег; пробежка; -ать"
kuaför,A1,куафёр,"парикмахерша; цирюльник"
Kulak,A1,кулак,"колос; початок; слышащий"
kullanmak,A1,кулланмак,"нанимать; нанять; использование"
kulüp,A1,кулюп,"бита; клюшка; общество"
kutlamak,A1,кутламак,"прославить; прославлять; -ать"
kutlu olmak,A1,кутлу олмак,"(нет перевода)"
kutu,A1,куту,"бокс; квадрат; влагалище"
kuyumcu,A1,куйумджу,"(нет перевода)"
Kuzen,A1,кузен,"двоюродная сестра; двоюродный брат"
kuş,A1,куш,"птица"
köpek,A1,кёпек,"собака"
Köprü,A1,кёпрю,"мост; переносица"
kötü,A1,кётю,"плохой"
köy,A1,кёй,"деревня; село; дехканин"
Köşe,A1,кёше,"угол; уголок"
kütüphane,A1,кютюпхане,"библиотека"
kırmızı,A1,кырмызы,"красный"
kıskanç,A1,кысканч,"ревнивый; ревнующий"
kız,A1,кыз,"девочка, дочь"
kız kardeş,A1,кыз кардеш,"сестра; медсестра"
Kızarmak,A1,кызармак,"-ать; -еть; из"
kızgın,A1,кызгын,"злой; гневный; перекрёстный"
lale,A1,лале,"тюльпан; добрый; добродушный"
lamba,A1,ламба,"лампа; лампочка; светлый"
Lezzetli,A1,леззетли,"вкусный; лакомый"
limon,A1,лимон,"лимон; фуфло"
lise,A1,лисе,"средняя школа; высокий; обдолбаный"
litre,A1,литре,"(нет перевода)"
lokanta,A1,локанта,"ресторан"
lütfen,A1,лютфен,"пожалуйста"
mahalle,A1,махалле,"(нет перевода)"
makas,A1,макас,"ножницы; железнодорожный путь; колея"
manav,A1,манав,"продавец овощей и фруктов; овощной магазин"
manto,A1,манто,"манто; мантия"
Manzara,A1,манзара,"вид; взгляд"
Marka,A1,марка,"клеймо; тавро; товарный знак"
market,A1,маркет,"магазин"
masa,A1,маса,"стол"
maç,A1,мач,"матч; соревнование"
mağaza,A1,мааза,"магазин; бутик; кладовая"
mektup,A1,мектуп,"буква; литера"
memur,A1,мемур,"госслужащий; государственный служащий; гражданский"
Mercimek çorbası,A1,мерджимек чорбасы,"(нет перевода)"
merdiven,A1,мердивен,"ступень; ступенька; лестница"
metro,A1,метро,"метро; метрополитен; мер"
Meydan,A1,мейдан,"квадратный; квадрат; арена"
meşgul,A1,мешгул,"деятельный; занятый"
millet,A1,миллет,"нация; народ"
misal,A1,мисал,"пример; образец; роль"
mutfak,A1,мутфак,"кухня; кулинария"
mutlu,A1,мутлу,"счастливый; радостный; кто-то"
mutsuz,A1,мутсуз,"грустный; печальный"
mühendis,A1,мюхендис,"машинист; инженер"
müsait,A1,мюсаит,"годный; подходящий; действительный"
müşteri,A1,мюштери,"клиент; заказчик; заказчица"
nar,A1,нар,"гранат; гранатовое дерево; опечатка"
nefes,A1,нефес,"вздох; дыхание"
nefret etmek,A1,нефрет этмек,"-ать; -еть"
Nehir,A1,нехир,"река; речка"
nerede,A1,нереде,"где"
nesne,A1,несне,"объект; вещь"
Nijerya,A1,нижерйа,"Нигерия"
niçin,A1,ничин,"почему; зачем"
normal,A1,нормал,"нормальный; обычный; регулярный"
numara,A1,нумара,"число; количество; фишка"
ocak,A1,оджак,"печка; плитка; труба"
oda,A1,ода,"возможность; место"
ofis,A1,офис,"обряд; служба"
okumak,A1,окумак,"читать"
olmak,A1,олмак,"быть, становиться"
omuz,A1,омуз,"лопатка; плечо"
opera,A1,опера,"опера; оперный театр"
orada,A1,орада,"там"
orman,A1,орман,"лес"
Orta,A1,орта,"центральный; средний; середина"
ortaokul,A1,ортаокул,"средняя школа; средний; середина"
otel,A1,отел,"гостиница; отель"
otobüs,A1,отобюс,"автобус"
oturmak,A1,отурмак,"сидеть, жить"
oynamak,A1,ойнамак,"-ать; -еть"
pahalı,A1,пахалы,"дорогой"
paket,A1,пакет,"пакет; пачка"
para,A1,пара,"деньги"
para çekmek,A1,пара чекмек,"(нет перевода)"
pardösü,A1,пардёсю,"шинель; пальто"
park,A1,парк,"парк; парковать"
Parmak,A1,пармак,"перст; палец"
pastane,A1,пастане,"кондитерская"
patates,A1,пататес,"картофель; картофелина"
Patlıcan,A1,патлыджан,"бадриджан; баклажан"
pembe,A1,пембе,"розовый; гвоздика"
pencere,A1,пенджере,"окно"
petrol,A1,петрол,"(нет перевода)"
pijama,A1,пижама,"(нет перевода)"
piyano,A1,пийано,"пиано; пианино"
pişirmek,A1,пиширмек,"каузатив; каузативный залог"
Plan,A1,план,"план; схема"
polis,A1,полис,"полиция; милиция; полицейский"
portakal,A1,портакал,"оранжевый; апельсин"
postacı,A1,постаджы,"письмоносец; почтальон"
postane,A1,постане,"почтамт; главпочтамт; пост"
projektör,A1,прожектёр,"проектор"
psikolog,A1,псиколог,"психолог"
radyo,A1,радйо,"радио; радиовещание"
Rapor,A1,рапор,"отчёт; доклад; врачебный"
Renk,A1,ренк,"цвет"
resepsiyonist,A1,ресепсийонист,"(нет перевода)"
resim,A1,ресим,"изображение; картина; живопись"
restoran,A1,ресторан,"ресторан"
Reçete,A1,речете,"рецепт; предписание"
rol,A1,рол,"роль; должность"
roman,A1,роман,"новый; оригинальный"
Rusya,A1,русйа,"Россия; Русь"
saat,A1,саат,"час, часы"
sabah,A1,сабах,"утро; время до полудня; за"
sabahları,A1,сабахлары,"(нет перевода)"
sakin,A1,сакин,"спокойный; тихий; жилец"
Sallanmak,A1,салланмак,"ибо; из-за того, что; -ать"
salon,A1,салон,"гостиная; зал; жизненный"
Salıncak,A1,салынджак,"взмах; замах"
sandalye,A1,сандалйе,"стул"
sanmak,A1,санмак,"догадка; гадать; предполагать"
satranç,A1,сатранч,"шахматы"
satın almak,A1,сатын алмак,"-ать; -еть"
sayı,A1,сайы,"число; количество; вытекание"
saç,A1,сач,"волос; волосина"
Sağ,A1,са,"правильный; правый; жизненный"
sağlıklı,A1,салыклы,"здоровый; полезный"
sefer,A1,сефер,"вояж; поездка; экспедиция"
sehpa,A1,сехпа,"тренога; треножник; козлы"
sekreter,A1,секретер,"секретарша; секретарь"
sembol,A1,сембол,"знак; символ"
semt,A1,семт,"(одна) четвёртая (часть); квартал; дистрикт"
sergi,A1,серги,"(нет перевода)"
Sessiz,A1,сессиз,"молчать; тихий; молчаливый"
sevmek,A1,севмек,"любить"
seyahat,A1,сейахат,"вояж; плавание"
silgi,A1,силги,"резинка; ластик"
sinirli,A1,синирли,"злой; гневный"
site,A1,сите,"закрытый жилой комплекс; охраняемый жилой комплекс; жильё"
sohbet etmek,A1,сохбет этмек,"-ать; -еть"
sokak,A1,сокак,"улица"
Sol,A1,сол,"левый; либеральный; соль"
sormak,A1,сормак,"спрашивать; спросить; -ать"
soru,A1,сору,"вопрос; предмет"
sorun,A1,сорун,"проблема; задание"
Sosyal,A1,сосйал,"общительный; социальный"
soyadı,A1,сойады,"фамилия; прозвище"
spor yapmak,A1,спор йапмак,"(нет перевода)"
stres atmak,A1,стрес атмак,"(нет перевода)"
Suriye,A1,сурийе,"Сирия"
söylemek,A1,сёйлемек,"скажем; право голоса; телль"
sözlük,A1,сёзлюк,"словарь; лексикон"
sürmek,A1,сюрмек,"-ать; -еть; из"
sıcak,A1,сыджак,"горячий, тёплый"
sıkılmak,A1,сыкылмак,"пассивный; бездеятельный; -ать"
sıra,A1,сыра,"скамейка; лавка; тяга к поясу"
tabak,A1,табак,"тарелка; блюдо; миска"
Tahmin,A1,тахмин,"догадка; гадать"
tahta,A1,тахта,"доска; коммутатор; дерево"
Tansiyon ölçtürmek,A1,тансийон ёлчтюрмек,"(нет перевода)"
tanımak,A1,танымак,"знать; ведать; -ать"
tanışmak,A1,танышмак,"-ать; -еть"
tarih,A1,тарих,"финик; дата; история"
Tarihi,A1,тарихи,"изменение формы слова; окончание; определённый"
Tartılmak,A1,тартылмак,"(нет перевода)"
tatil,A1,татил,"каникулы; отпуск; оплошность"
tavuk,A1,тавук,"курица; курочка; цыплёнок"
Tedavi olmak,A1,тедави олмак,"(нет перевода)"
tehlikeli,A1,техликели,"опасный; рискованный"
tekrar etmek,A1,текрар этмек,"-ать; -еть"
telefon,A1,телефон,"телефон; позвонить по телефону"
telefon etmek,A1,телефон этмек,"-ать; -еть"
tembel,A1,тембел,"ленивый; амблиопи"
temiz,A1,темиз,"чистый; ровный; опрятный"
temizlemek,A1,темизлемек,"-ать; -еть"
Ten,A1,тен,"кожа; шкура; кузов"
teneffüs,A1,тенеффюс,"углубление; каникулы; дыхание"
terlik,A1,терлик,"тапочки; тапки"
Terzi,A1,терзи,"портной; портниха"
teyze,A1,тейзе,"тётя; тётка; материнский"
tezgâhtar,A1,тезгахтар,"(нет перевода)"
tiyatro,A1,тийатро,"театр"
top,A1,топ,"орудие; пушка; ружьё"
toplamak,A1,топламак,"коллекта; краткая молитва; аккумулировать"
tur,A1,тур,"поездка; путешествие; поворот"
turist,A1,турист,"путешественник; путешественница"
tuzlu,A1,тузлу,"солёный; соляной; дорогой"
tür,A1,тюр,"добрый; добродушный; жанр"
Türkiye,A1,тюркийе,"Турция"
tırmanmak,A1,тырманмак,"восхождение; подъём; -ать"
ucuz,A1,уджуз,"дешёвый"
uygun,A1,уйгун,"приятный; милый; забавный"
uyumak,A1,уйумак,"спать"
uzak,A1,узак,"далёкий; отдалённый; дальний"
uzanmak,A1,узанмак,"-ать; -еть"
uçak,A1,учак,"самолёт"
uçurtma,A1,учуртма,"коршун; змей"
vagon,A1,вагон,"воз; повозка"
vapur,A1,вапур,"пароход; паром"
var,A1,вар,"есть (имеется)"
varmak,A1,вармак,"-ать; -еть; использованный"
vazo,A1,вазо,"ваза"
vedalaşmak,A1,ведалашмак,"-ать; -еть"
vermek,A1,вермек,"давать"
Vücut,A1,вюджут,"кузов; тело; людской"
yabancı,A1,йабанджы,"незнакомец; незнакомка; иноземец"
yabancı dil,A1,йабанджы дил,"иностранный язык; иностранный; заграничный"
yakmak,A1,йакмак,"-ать; -еть"
yakın,A1,йакын,"ближний; близкий; относительный"
yalan,A1,йалан,"ложь; враньё; фальшивый"
yanlış,A1,йанлыш,"ошибка; отклонение; фальшивый"
yapmak,A1,йапмак,"делать"
yaramaz,A1,йарамаз,"бесполезный; ненужный; никчёмный"
yardım etmek,A1,йардым этмек,"-ать; -еть"
yardım istemek,A1,йардым истемек,"(нет перевода)"
yastık,A1,йастык,"подушка"
yatmak,A1,йатмак,"-ать; -еть"
Yavaş,A1,йаваш,"медленный; замедлять; спокойный"
yazmak,A1,йазмак,"писать"
yazı tahtası,A1,йазы тахтасы,"(нет перевода)"
yaş,A1,йаш,"возраст; год; свежий"
yaşamak,A1,йашамак,"живой; в прямом эфире; -ать"
yaşlanmak,A1,йашланмак,"-ать; -еть"
yaşlı,A1,йашлы,"старый; пожилой"
yemek,A1,йемек,"есть, еда"
yemekhane,A1,йемекхане,"столовая; трапезная"
Yenge,A1,йенге,"тётя; женский; самка"
yeni,A1,йени,"новый"
yeni yıl,A1,йени йыл,"(нет перевода)"
yenmek,A1,йенмек,"-ать; -еть"
yer,A1,йер,"дом; жилище; молотый"
yiyecek,A1,йийеджек,"пища; корм"
yok,A1,йок,"нет (отсутствует)"
yolcu,A1,йолджу,"пассажир; пассажирка"
yorgun,A1,йоргун,"утомлённый; усталый"
yorulmak,A1,йорулмак,"-ать; -еть"
yorum,A1,йорум,"комментарий; замечание; наблюдение"
yoğun,A1,йоун,"интенсивный; сильный; густой"
Yukarı,A1,йукары,"высокий; обдолбаный; верхний"
Yukarıdaki sıfatları kullanalım ve,A1,йукарыдаки сыфатлары кулланалым ве,"(нет перевода)"
yurt,A1,йурт,"он; единственный"
yürümek,A1,йюрюмек,"март; марш; прогулка"
yüzmek,A1,йюзмек,"плот; поплавок; плыть"
yüzük,A1,йюзюк,"банда; группировка"
yıkamak,A1,йыкамак,"-ать; -еть"
yıl,A1,йыл,"год"
yıldız,A1,йылдыз,"гороскоп; звезда; звёздочка"
zaman,A1,заман,"время; час; длительность"
zamir,A1,замир,"местоимение"
zayıf,A1,зайыф,"слабый; правильный; стройный"
zengin,A1,зенгин,"богатый; зажиточный"
zevkli,A1,зевкли,"забавный; приятный; изящный"
